id_film,titre_original,annee_sortie,duree,genres,acteurs,personnage_film,directeur,moyenne_notes,nombre_votes,description_en,popularite,chemin_affiche,description_fr
tt14212090,L'envol,2022,100,"Drama,History,Romance","['Raphaël Thiéry', 'Juliette Jouan', 'Noémie Lvovsky']","['Raphaël', 'Juliette', 'Madame Adeline']",Pietro Marcello,6.6,1069.0,"In northern France, Juliette grows up alone with her father, Raphaël, a veteran of the First World War. Passionate about singing and music, one summer the lonely young girl meets a magician who promises that scarlet sails will one day take her away from her village.",3.546,/s6kr3P8OuskO4g4yqSAhb1hR8Uk.jpg,"Quelque part dans le Nord de la France, Juliette grandit seule avec son père, Raphaël, un soldat rescapé de la Première Guerre mondiale. Passionnée par le chant et la musique, la jeune fille solitaire fait un été la rencontre d’une magicienne qui lui promet que des voiles écarlates viendront un jour l’emmener loin de son village. Juliette ne cessera jamais de croire en la prophétie."
tt14236348,Le test,2021,85,"Comedy,Family","['Alexandra Lamy', 'Philippe Katerine', 'Matteo Perez']","['Annie Castillon', 'Laurent Castillon', 'César Castillon']",Emmanuel Poulain-Arnaud,5.9,667.0,"Annie lives in harmony with her husband Laurent and her children: the sensitive elders Maximilien and César; the younger Antoine whom Poupi, never-complaining teen, helps raising him. But a positive pregnancy test will disturb the harmony.",6.328,/5UuZDA5EVh5TzPV3edAULpFLqpH.jpg,"Annie Castillon est heureuse. Sa vie conjugale avec Laurent est un exemple d’harmonie. Ses deux grands, Maximilien et César sont des garçons brillants et sensibles. Et Poupi, sa jeune ado, l’épaule sans jamais se plaindre dans l’éducation d'Antoine, le petit dernier. Un week-end comme tous les autres, la découverte d’un test de grossesse positif dans la salle de bain va enrayer la belle harmonie."
tt14275050,Plus que jamais,2022,123,"Drama,Romance","['Vicky Krieps', 'Gaspard Ulliel', 'Bjørn Floberg']","['Hélène', 'Matthieu', 'Mister(Bent)']",Emily Atef,6.7,1659.0,"Hélène, a 33-year-old woman from Bordeaux, France, lives happily as a couple with Mathieu, her husband of many years. Her life turns upside down the day she learns she has a rare lung disease. Thanks to a blog, she discovers Norway and decides to follow her instinct. Despite all the love she has for her life partner Mathieu, who is very supportive through her illness, she leaves him behind in France and will cross all Europe to Norway alone in search of a new path and to meet a blogger named Mister that she found on the internet.",3.44,/d900vS2Xz9XOhYCTE50jwLFZDlo.jpg,"Hélène et Mathieu sont heureux ensemble depuis de nombreuses années. Le lien qui les unit est profond. Confrontée à une décision existentielle, Hélène part seule en Norvège pour chercher la paix et éprouver la force de leur amour."
tt14280366,La Brigade,2022,97,"Comedy,Drama","['Audrey Lamy', 'François Cluzet', 'Chantal Neuwirth']","['Cathy Marie', 'Lorenzo Cardi', 'Sabine']",Louis-Julien Petit,6.3,1276.0,"Cathy is a sous-chef wanting to open a restaurant. With financial difficulties, Cathy accepts a job at a shelter for young migrants. At first she hates the job then her passion for cuisine starts to change children's lives.",12.37,/pymhSBJJWMmzONak9rGcwUcGOH3.jpg,"Cathy, 40 ans, serveuse à Antibes, a toujours voulu être cheffe de son propre restaurant. Lorsqu’elle se fait renvoyer pour la énième fois à cause de sa grande gueule, elle se retrouve contrainte d’accepter un poste de cantinière dans un foyer accueillant des mineurs sans papiers…"
tt14300376,Vous ne désirez que moi,2021,95,Romance,"['Swann Arlaud', 'Emmanuelle Devos', 'Christophe Paou']","['Yann Andréa', 'Michèle Manceaux', 'Le compagnon de Michèle Manceaux']",Claire Simon,5.8,218.0,"In 1982, Yann Andréa and Marguerite Duras have been living together for two years. She is almost 70 years old, while he is 38 years her junior. Andréa asks journalist and writer Michèle Manceaux to interview him about his life with Duras, an obsession that both impassions him and drives him mad. He believes by entrusting their story to Manceaux, he may gain more clarity of the relationship. What follows is an intense and compelling conversation delving into the deepest recesses of modern love.",2.841,/hQldaApF9aWgxrnoHbb5AO1654n.jpg,"En octobre 1982 Yann Andrea a demandé à Michèle Manceaux de l’interviewer. Il est le compagnon de Marguerite Duras depuis deux ans, il a 38 ans de moins qu’elle, et Michèle, journaliste et écrivain est une complice et une voisine de Marguerite. Ils se retrouvent au premier étage de la maison de Neauphle et la première phrase de Yann est « je voudrais parler de Duras ». Oui, il voudrait y voir un peu plus clair : l’intensité de sa relation passionnelle avec l’écrivaine ne lui laisse plus aucune liberté. Au cours de ces deux séances d’entretien, il essaie, avec la complicité de Michèle Manceaux, de comprendre ce qu’il vit, de savoir comment sauver sa peau, et de continuer à aimer Marguerite."
tt14313434,L'astronaute,2022,110,"Comedy,Drama","['Nicolas Giraud', 'Mathieu Kassovitz', 'Hélène Vincent']","['Jim Desforges', 'Alexandre Ribbot', 'Odette Desforges']",Nicolas Giraud,6.7,661.0,"An aeronautical engineer at Ariane Espace, Jim has devoted himself for years to a secret project: building his own rocket and accomplishing the first manned space flight as an amateur. But to realize his dream, he must learn to share it.",2.949,/4pZTM4PWWXEKg36bYMQPwMh0FOZ.jpg,"Ingénieur en aéronautique chez Ariane Espace, Jim se consacre depuis des années à un projet secret et hors normes: construire sa propre fusée et accomplir le premier vol spatial habité en amateur. Mais pour réaliser son rêve, il va devoir apprendre à le partager…"
tt14317880,Coupez!,2022,112,"Comedy,Horror","['Romain Duris', 'Romain Duris', 'Bérénice Bejo']","['Rémi', 'Higurashi', 'Nadia']",Michel Hazanavicius,6.4,4999.0,Things go badly for a small film crew shooting a low-budget zombie movie when they are attacked by real zombies.,14.101,/hBUdnylt2a84PwGIPQcZDkCVB5M.jpg,"Un tournage de film de zombies dans un bâtiment désaffecté. Entre techniciens blasés et acteurs pas vraiment concernés, seul le réalisateur semble investi de l’énergie nécessaire pour donner vie à un énième film d'horreur à petit budget. L’irruption d’authentiques morts-vivants va perturber le tournage."
tt14319198,Silent Voice,2020,52,Documentary,['Ruben Francq'],['Pièrre'],Reka Valerik,7.2,66.0,"Young and promising Chechen MMA (Mixed Martial Arts) fighter Khavaj must flee from Chechnya to Brussels when his brother discovers his homosexuality and promises to kill him. In an episode of silence, the young man finds comfort in the Planetarium, among the silence of the stars. In this documentary, which traces his first months of life in Belgium, Khavaj slowly observes how the last link that ties him to Chechnya disintegrates. The life of yesterday is in past, but the future is not clear yet.",0.6,/6Qg0UM3bP4dy9KK2sb3mfJRfiSd.jpg,
tt14328348,Last Dance,2022,84,Comedy,"['François Berléand', 'Kacey Mottet Klein', 'Maria Ribot']","['Germain', 'Samir', 'La Ribot']",Delphine Lehericey,6.3,325.0,"After his wife dies, a 75 year old retiree has to put up with the intrusion into his idle life of other family members.",1.503,/bf6XRPhjCH7XJsPgbAPpspwhFsX.jpg,"Retraité contemplatif, Germain se retrouve soudainement veuf à 75 ans. Il n’a même pas le temps de souffler que sa famille s’immisce dans son quotidien : visites et appels incessants, repas organisés à l’avance... Sa vie devient réglée comme une montre suisse ! Mais Germain a l’esprit ailleurs. Honorant une promesse faite à son épouse, il est propulsé au cœur d’une création de danse contemporaine."
tt14335980,Maestro(s),2022,87,"Comedy,Drama,Music","['Yvan Attal', 'Pierre Arditi', 'Miou-Miou']","['Denis Dumar', 'François Dumar', 'Hélène']",Bruno Chiche,5.9,379.0,"The Dunars are conductors from father to son. François' long and brilliant international career come to an end, whereas Denis has just won an umpteenth classical music award. When François is chosen to be the head of the Scala, his ultimate dream, he can't believe it. Happy at first for his father, Denis quickly become disillusioned when he discovers that he was, in fact, chosen to go to Milan.",3.673,/vXpdVFtxDVXKWLCtxrwHVTU2Frs.jpg,"Chez les Dumar, on est chefs d’orchestre de père en fils : François achève une longue et brillante carrière internationale tandis que Denis vient de remporter une énième Victoire de la Musique Classique. Quand François apprend qu’il a été choisi pour diriger la Scala, son rêve ultime, son graal, il n’en croit pas ses oreilles. D’abord comblé pour son père, Denis déchante vite lorsqu’il découvre qu’en réalité c’est lui qui a été choisi pour aller à Milan."
tt14336174,Peter von Kant,2022,85,Drama,"['Denis Ménochet', 'Isabelle Adjani', 'Khalil Ben Gharbia']","['Peter von Kant', 'Sidonie', 'Amir Ben Salem']",François Ozon,6.3,2665.0,"Peter von Kant, a successful, famous director, lives with his assistant Karl, whom he likes to mistreat and humiliate. Through the great actress Sidonie, he meets and falls in love with Amir, a handsome young man of modest means. He offers to share his apartment and help Amir break into the world of cinema. Several months later, Amir becomes a star. But as soon as he acquires fame, he breaks up with Peter, leaving him alone to face himself.",23.959,/5ZTjS0XmJHCAcp0jWj6tR64hAeJ.jpg,"Peter Von Kant, célèbre réalisateur à succès, habite avec son assistant Karl, qu’il se plaît à maltraiter. Grâce à la grande actrice Sidonie, il rencontre et s’éprend d’Amir, un jeune homme d’origine modeste. Il lui propose de partager son appartement et de l’aider à se lancer dans le cinéma..."
